Date,1,2,3
1980-01-01,59.5,2.933,26.6
1980-01-02,59,2.933,25.8
1980-01-03,57.9,2.933,24.5
1980-01-04,56.9,2.933,24.5
1980-01-05,56.9,2.687,25.4
1980-01-06,56.9,2.558,24.5
1980-01-07,54.8,2.716,24
1980-01-08,54.2,2.689,23.7
1980-01-09,52.6,2.714,24
1980-01-10,51.6,2.655,23.3
1980-01-11,51.1,2.542,23.1
1980-01-12,51.1,2.466,22.8
1980-01-13,50,2.51,23.3
1980-01-14,49.5,2.506,23.1
1980-01-15,48.9,2.513,23.1
1980-01-16,48.4,2.442,22.8
1980-01-17,48.4,2.307,22.8
1980-01-18,52.6,2.295,22.4
1980-01-19,52.6,2.321,22.4
1980-01-20,49.5,2.343,23.3
1980-01-21,48.4,2.368,22.4
1980-01-22,47.9,2.256,22.2
1980-01-23,47.9,7.629,23.3
1980-01-24,47.9,30.707,27.2
1980-01-25,47.9,36.776,30
1980-01-26,46.8,20.429,134
1980-01-27,46.3,6.035,71.9
1980-01-28,45.2,5.05,33.1
1980-01-29,44.7,4.573,27.2
1980-01-30,44.7,3.823,25.4
1980-01-31,43.7,3.744,24
1980-02-01,43.7,3.377,22.8
1980-02-02,42.6,3.112,23.1
1980-02-03,43.1,3.112,22.8
1980-02-04,43.1,2.85,21.4
1980-02-05,42.1,2.847,21.4
1980-02-06,42.1,2.864,21.7
1980-02-07,41.5,2.841,21.4
1980-02-08,41,2.799,21.4
1980-02-09,40.5,2.544,21.1
1980-02-10,40.5,2.564,20.7
1980-02-11,40.5,2.472,20
1980-02-12,39.9,2.487,20.7
1980-02-13,39.4,2.414,20.7
1980-02-14,39.4,2.293,20.7
1980-02-15,39.4,2.39,20.7
1980-02-16,38.9,2.386,21.1
1980-02-17,38.4,2.378,20.3
1980-02-18,38.4,2.339,20.3
1980-02-19,38.4,2.317,19.9
1980-02-20,37.8,2.329,19.9
1980-02-21,37.8,2.396,19.2
1980-02-22,37.3,2.398,19.6
1980-02-23,37.3,2.157,18.9
1980-02-24,36.8,2.099,18.9
1980-02-25,36.8,2.047,18.9
1980-02-26,37.8,1.971,18.5
1980-02-27,37.3,1.947,18.2
1980-02-28,37.3,1.943,18.2
1980-02-29,36.8,1.964,18.9
1980-03-01,36.2,1.935,18.5
1980-03-02,36.2,1.963,18.5
1980-03-03,37.8,1.963,18.2
1980-03-04,36.8,1.963,18.5
1980-03-05,35.7,1.963,18.2
1980-03-06,35.2,1.963,17.9
1980-03-07,34.7,1.765,17.6
1980-03-08,34.7,1.866,17.6
1980-03-09,34.7,1.865,17.9
1980-03-10,34.7,1.864,17.6
1980-03-11,33.1,1.816,17.6
1980-03-12,33.6,1.77,17.9
1980-03-13,33.1,1.814,17.1
1980-03-14,33.1,1.708,17.3
1980-03-15,33.1,1.709,17.6
1980-03-16,33.1,1.753,16.5
1980-03-17,33.1,1.738,17.1
1980-03-18,32.5,1.695,17.1
1980-03-19,32.5,1.745,17.1
1980-03-20,32.5,1.802,17.1
1980-03-21,32,1.655,16.8
1980-03-22,31.5,1.604,16.5
1980-03-23,31.5,1.625,16.5
1980-03-24,31,1.599,16.5
1980-03-25,30,1.534,16.5
1980-03-26,29.9,1.443,16.8
1980-03-27,29.9,1.419,16.2
1980-03-28,32,1.452,16.2
1980-03-29,31.5,1.44,15.4
1980-03-30,31.5,1.368,15.4
1980-03-31,31.5,1.366,15.1
1980-04-01,31.5,1.343,15.4
1980-04-02,31,1.386,15.4
1980-04-03,32.5,1.361,15.8
1980-04-04,32,1.343,15.1
1980-04-05,32.5,1.29,15.4
1980-04-06,31,1.487,15.1
1980-04-07,30.4,1.487,15.4
1980-04-08,30.4,1.625,15.1
1980-04-09,32,3.642,15.1
1980-04-10,33.1,2.756,17.1
1980-04-11,33.1,1.528,37.1
1980-04-12,36.1,1.402,18.9
1980-04-13,32,1.406,16.8
1980-04-14,31,1.411,16.5
1980-04-15,31,1.464,15.8
1980-04-16,30.4,1.375,15.4
1980-04-17,29.9,1.37,15.1
1980-04-18,29.4,1.569,15.4
1980-04-19,29.9,1.642,15.8
1980-04-20,29.4,1.363,15.1
1980-04-21,29.4,1.378,15.4
1980-04-22,28.8,1.971,15.1
1980-04-23,28.8,1.807,15.8
1980-04-24,28.3,1.485,15.4
1980-04-25,27.8,1.219,14.5
1980-04-26,27.8,1.33,14.5
1980-04-27,28.3,1.25,14.5
1980-04-28,30.4,1.117,14.8
1980-04-29,28.3,1.011,14.5
1980-04-30,27.3,1,14.1
1980-05-01,28.7,0.969,13.7
1980-05-02,30,0.956,13.7
1980-05-03,35.6,1.025,13.9
1980-05-04,29.4,1.065,13.9
1980-05-05,35.6,1.081,13.9
1980-05-06,31.2,1.097,13.9
1980-05-07,31.2,1.113,26.9
1980-05-08,31.2,1.096,18.9
1980-05-09,52.8,1.111,16.8
1980-05-10,38,1.099,15.8
1980-05-11,34.9,1.079,15.8
1980-05-12,30.6,1.055,18.2
1980-05-13,29.4,1.061,15.4
1980-05-14,29.4,0.998,15.1
1980-05-15,30.6,0.974,14.8
1980-05-16,59.5,0.934,14.5
1980-05-17,41.1,0.904,14.1
1980-05-18,34.3,0.912,14.5
1980-05-19,32.5,0.956,16.2
1980-05-20,31.2,0.98,14.1
1980-05-21,33.1,1.178,17.9
1980-05-22,36.8,1.104,19.2
1980-05-23,56.5,1.015,16.8
1980-05-24,42.4,1.023,16.2
1980-05-25,64.4,1.006,16.2
1980-05-26,55.9,1.198,16.8
1980-05-27,46.1,1.303,16.8
1980-05-28,39.9,2.727,31.2
1980-05-29,36.8,1.062,20.7
1980-05-30,35.6,1.005,17.1
1980-05-31,33.7,0.904,15.8
1980-06-01,33.1,1.559,15.4
1980-06-02,32.5,0.783,15.1
1980-06-03,34.9,0.546,15.4
1980-06-04,34.3,1.399,22.4
1980-06-05,34.9,1.775,18.9
1980-06-06,36.2,1.359,16.8
1980-06-07,33.7,1.619,19.9
1980-06-08,32.5,1.281,18.9
1980-06-09,31.2,1.295,15.4
1980-06-10,30.6,1.109,14.8
1980-06-11,33.7,1.038,14.5
1980-06-12,38.7,1.063,14.8
1980-06-13,51.6,0.903,13
1980-06-14,67.5,0.864,14.5
1980-06-15,74.2,1.725,17.3
1980-06-16,110,1.846,29.5
1980-06-17,83.9,3.906,21.7
1980-06-18,74.2,1.9,17.3
1980-06-19,83.3,2.796,20.3
1980-06-20,74.2,1.88,24
1980-06-21,82.7,1.682,22.8
1980-06-22,73.6,1.589,25.4
1980-06-23,68.1,3.159,38.7
1980-06-24,76.6,3.986,60.5
1980-06-25,73,5.508,57
1980-06-26,97.2,18.177,68
1980-06-27,86.9,10.232,69
1980-06-28,74.8,4.491,43.2
1980-06-29,68.1,3.048,45
1980-06-30,63.2,1.431,43.2
1980-07-01,56.4,2.453,68.5
1980-07-02,52.2,1.883,35
1980-07-03,50.1,1.297,28.4
1980-07-04,48.8,0.936,26.6
1980-07-05,47.4,1.25,42.3
1980-07-06,48.1,4.664,35
1980-07-07,54.3,7.995,41.8
1980-07-08,50.8,5.135,46.2
1980-07-09,50.8,20.086,46.2
1980-07-10,60,7.418,56.8
1980-07-11,50.1,5.252,48.3
1980-07-12,47.4,3.737,39.5
1980-07-13,46.7,3.072,68.3
1980-07-14,49.4,9.688,48.6
1980-07-15,46.7,14.233,80.1
1980-07-16,50.8,8.649,111
1980-07-17,58.5,7.512,70.2
1980-07-18,55.7,5.005,72
1980-07-19,60.7,5.091,66.6
1980-07-20,52.2,4.802,106
1980-07-21,58.5,3.806,68.7
1980-07-22,76.76,5.798,84.5
1980-07-23,74.4,3.561,58.2
1980-07-24,84.8,7.252,84.9
1980-07-25,124,8.829,132
1980-07-26,136,14.806,176
1980-07-27,116,11.088,120
1980-07-28,98.4,8.151,87.2
1980-07-29,85.6,7.066,72.9
1980-07-30,76.6,7.616,92
1980-07-31,88.6,8.705,117
1980-08-01,82.6,39.158,145
1980-08-02,93.1,6.067,112
1980-08-03,96.1,33.742,256
1980-08-04,115,32.805,175
1980-08-05,134,25.216,130
1980-08-06,158,20.78,106
1980-08-07,118,19.191,88.6
1980-08-08,125,14.894,85.7
1980-08-09,133,11.495,111
1980-08-10,159,11.322,135
1980-08-11,145,13.592,197
1980-08-12,138,25.966,202
1980-08-13,116,29.105,231
1980-08-14,113,19.381,172
1980-08-15,101,13.852,146
1980-08-16,106,18.068,135
1980-08-17,116,24.932,263
1980-08-18,98.4,29.562,170
1980-08-19,90.8,21.66,141
1980-08-20,86.3,18.479,143
1980-08-21,90.1,20.234,155
1980-08-22,91.6,18.967,236
1980-08-23,88.6,27.969,236
1980-08-24,88.6,34.125,234
1980-08-25,94.6,32.396,230
