0,Prec,AET
1981,1711.427306043184,
1982,1351.9592840355808,
1983,1383.6325411871007,
1984,1667.5876284803198,
1985,1243.9020772986169,
1986,1230.2193340379592,
1987,1045.0117918067358,
1988,1584.2341590230728,
1989,1451.6916923966494,
1990,1275.8534923002271,
1991,1185.6417450901095,
1992,1163.248843206506,
1993,1367.568497784902,
1994,1049.9134733666563,
1995,1667.7119949894718,
1996,1586.678370897557,
1997,1324.8276448638587,
1998,1249.2646623750866,
1999,1676.3927528619822,
2000,1428.070041634084,1046.1353378296
2001,1221.4210910812778,1087.7097625729998
2002,1080.2762618322656,1115.4984817503998
2003,1192.4706328175364,1089.3488845833
2004,1097.7736619712043,1116.2563934322
2005,1540.9023266361407,1074.2526321408004
2006,1300.0249746534632,1069.4270629897999
2007,1410.4832329439755,1075.2308349607001
2008,1574.086362004224,1068.193992615
2009,1077.965501197579,1052.6842041016002
2010,1789.6506592818375,1071.3706741324002
2011,1518.1785467664222,1015.9225463863
2012,1261.6686889174719,1083.169921874
2013,1507.2388233811275,1075.2992477419
2014,1255.4322649438882,1115.7842102046
2015,958.682435220726,
2016,1018.3594126645328,
2017,1308.319772749999,
