Date,1,2,3
2000-01-01,73.0969924927,74.7125015259,45.4833335876
2000-02-01,61.790977478,78.2125015259,41.0103187561
2000-03-01,58.5593986511,88.5999984741,38.202381134
2000-04-01,62.6315803528,90.125,31.6087303162
2000-05-01,84.8496246338,96.0999984741,67.6634902954
2000-06-01,100.93082428,99.4375,100.792854309
2000-07-01,119.537597656,110.287498474,122.679367065
2000-08-01,113.043609619,119.525001526,128.780944824
2000-09-01,97.3706741333,107.512496948,113.47063446
2000-10-01,104.899246216,106.574996948,113.034919739
2000-11-01,91.4654159546,82.5875015259,80.4373016357
2000-12-01,77.9593963623,68.0749969482,49.4746017456
2001-01-01,65.9909744263,74.5250015259,51.9222221375
2001-02-01,72.2285690308,75.3125,40.8801574707
2001-03-01,64.1804504395,100.150001526,47.692855835
2001-04-01,70.6255645752,105.800003052,47.894443512
2001-05-01,89.4248123169,106.662498474,69.2865066528
2001-06-01,103.924057007,106.449996948,95.4753952026
2001-07-01,116.677444458,114.900001526,117.113494873
2001-08-01,121.657142639,129.25,138.424606323
2001-09-01,101.770675659,106.162498474,124.233329773
2001-10-01,107.018798828,109.75,114.853172302
2001-11-01,90.1849594116,83.5625,74.6650772095
2001-12-01,84.0263137817,71.9749984741,52.6412696838
2002-01-01,80.9473648071,79.2874984741,49.1873016357
2002-02-01,79.3202972412,85.9000015259,48.0301589966
2002-03-01,79.8894729614,109.962501526,50.9293632507
2002-04-01,69.2082672119,107.025001526,47.653175354
2002-05-01,89.2353363037,107.487503052,64.1746063232
2002-06-01,96.5984954834,109.474998474,106.149208069
2002-07-01,111.769172668,121.300003052,124.742858887
2002-08-01,124.129325867,123.175003052,131.3777771
2002-09-01,104.411277771,104.712501526,115.621429443
2002-10-01,104.335334778,105.162498474,110.311904907
2002-11-01,90.7436065674,78.9375,76.5222244263
2002-12-01,84.9105300903,76.3874969482,65.2714309692
2003-01-01,79.8436126709,78.7125015259,53.0269851685
2003-02-01,64.1646652222,84.1125030518,45.8444442749
2003-03-01,66.6007537842,101.212501526,44.2357139587
2003-04-01,71.4368438721,104.037498474,45.3190460205
2003-05-01,80.7669143677,96.0124969482,57.8293647766
2003-06-01,95.9661636353,106.925003052,105.730949402
2003-07-01,123.406768799,122.362503052,129.899993896
2003-08-01,122.053382874,126.550003052,140.599212646
2003-09-01,111.381958008,118.900001526,130.08253479
2003-10-01,103.270675659,101.1875,111.1222229
2003-11-01,93.9654159546,82.8000030518,83.0984115601
2003-12-01,76.4917297363,67.9875030518,52.5650787354
2004-01-01,75.9781951904,71.1374969482,49.9706344604
2004-02-01,69.5902252197,84.5250015259,46.4936523438
2004-03-01,80.6443634033,104.237503052,47.2182540894
2004-04-01,70.8842086792,109.762496948,49.2666664124
2004-05-01,99.7518768311,102.724998474,78.1190490723
2004-06-01,104.264663696,110.612503052,111.121429443
2004-07-01,118.325561523,123.5,129.025390625
2004-08-01,119.903007507,124.912498474,134.912704468
2004-09-01,103.546615601,109.237503052,120.782539368
2004-10-01,103.729324341,106.337501526,112.775398254
2004-11-01,89.1744384766,86.0625,77.6071395874
2004-12-01,80.4639129639,74.5749969482,52.9825401306
2005-01-01,70.3172912598,80.6500015259,54.2373008728
2005-02-01,56.3481216431,82.75,45.9714279175
2005-03-01,76.0308303833,100.925003052,46.7142868042
2005-04-01,77.1609039307,101.862503052,43.9769859314
2005-05-01,91.3481216431,97.5,56.2285728455
2005-06-01,95.5278167725,94.7125015259,75.2595214844
2005-07-01,114.45413208,114.662498474,110.09841156
